sample,short_ID,Site,biogeographic,lat,lon,depth(m),MPA,month,year,Host_name
Gh_Sva_62_s_31,Gh.96,Svalbard,Arctic,79.6582,7.521,297,No MPA,January,2021,Geodia hentscheli
Gh_Vst_011TVG-004B_d_92,Gh.75,Vesterisbanken,North Atlantic Boreal,73.614061,-9.035181,1784,No MPA,September,2019,Geodia hentscheli
Gh_Vst_019TVG-003B_d_90,Gh.76,Vesterisbanken,North Atlantic Boreal,73.488948,-8.968776,1601.5,No MPA,September,2019,Geodia hentscheli
Gh_Vst_019TVG-010B_d_91,Gh.49,Vesterisbanken,North Atlantic Boreal,73.614061,-9.035181,1784,No MPA,September,2019,Geodia hentscheli
Gh_Vst_045TVG-005B_i_61,Gh.77,Vesterisbanken,North Atlantic Boreal,72.373805,-11.653801,722,No MPA,September,2019,Geodia hentscheli
Gh_Vst_045TVG-011B_i_62,Gh.78,Vesterisbanken,North Atlantic Boreal,72.373805,-11.653801,722,No MPA,September,2019,Geodia hentscheli
Gh_Vst_045TVG-012B_i_64,Gh.79,Vesterisbanken,North Atlantic Boreal,72.373805,-11.653801,722,No MPA,September,2019,Geodia hentscheli
Gh_Vst_080TVG-009B_s_17,Gh.80,Vesterisbanken,North Atlantic Boreal,73.537318,-9.13196,179,No MPA,September,2019,Geodia hentscheli
Gh_Vst_080TVG-010B_s_18,Gh.81,Vesterisbanken,North Atlantic Boreal,73.537318,-9.13196,179,No MPA,September,2019,Geodia hentscheli
Gh_Vst_080TVG-013B_s_19,Gh.82,Vesterisbanken,North Atlantic Boreal,73.537318,-9.13196,179,No MPA,September,2019,Geodia hentscheli
Pv_FS_MPA_01601_s_52,Pv.8,Faroe Shetland Sponge Belt,NE Atlantic,60.83583,-3.03717,525,MPA,August,2018,Phakellia ventilabrum
Pv_FS_MPA_01602_s_26,Pv.9,Faroe Shetland Sponge Belt,NE Atlantic,60.83583,-3.03717,525,MPA,August,2018,Phakellia ventilabrum
Pv_FS_MPA_01603_s_53,Pv.10,Faroe Shetland Sponge Belt,NE Atlantic,60.83583,-3.03717,525,MPA,August,2018,Phakellia ventilabrum
Pv_NoS_11452_s_08,Pv.11,North of Shetland,NE Atlantic,60.454,0.538,131,No MPA,January,2019,Phakellia ventilabrum
Pv_NoS_11456_s_22,Pv.12,North of Shetland,NE Atlantic,61.116,0.175,155,No MPA,January,2019,Phakellia ventilabrum
Pv_NoS_Notag_s_09,Pv.13,North of Shetland,NE Atlantic,61.116,0.175,155,No MPA,January,2019,Phakellia ventilabrum
Pv_NwK_ST5-38_s_29,Pv.14,Norway,NE Atlantic,59.81359,5.603875,259,No MPA,September,2016,Phakellia ventilabrum
Pv_NwK_ST5-39_s_30,Pv.15,Norway,NE Atlantic,59.81359,5.603875,259,No MPA,September,2016,Phakellia ventilabrum
Pv_RB_11218_s_13,Pv.16,Rockall Bank,NE Atlantic,57.52475,-13.4195,173.5,No MPA,September,2018,Phakellia ventilabrum
Pv_RB_11221_s_23,Pv.17,Rockall Bank,NE Atlantic,57.52475,-13.4195,173.5,No MPA,September,2018,Phakellia ventilabrum
Pv_RB_1418_s_15,Pv.18,Rockall Bank,NE Atlantic,57.1705,-13.638,187,No MPA,May,2018,Phakellia ventilabrum
Pv_RB_1420_s_16,Pv.19,Rockall Bank,NE Atlantic,57.1705,-13.638,187,No MPA,May,2018,Phakellia ventilabrum
Pv_RB_MPA_11417_s_20,Pv.20,Rockall Bank,NE Atlantic,56.7755,-14.4681,189.5,MPA,September,2018,Phakellia ventilabrum
Pv_RB_MPA_11419_s_21,Pv.21,Rockall Bank,NE Atlantic,56.7755,-14.4681,189.5,MPA,September,2018,Phakellia ventilabrum
Pv_RB_MPA_1865_s_24,Pv.22,Rockall Bank,NE Atlantic,56.905,-14.741,186,MPA,April,2018,Phakellia ventilabrum
Pv_RB_MPA_1866_s_14,Pv.23,Rockall Bank,NE Atlantic,56.905,-14.741,186,MPA,April,2018,Phakellia ventilabrum
Pv_SMK_ROV25-12_s_33,Pv.52,Troms¿ shelf,NE Atlantic,71.39517,16.81599,330,No MPA,August,2017,Phakellia ventilabrum
Pv_SMK_ROV25-13_s_35,Pv.53,Troms¿ shelf,NE Atlantic,71.39517,16.81599,330,No MPA,August,2017,Phakellia ventilabrum
Pv_SMK_ROV25-14_s_36,Pv.54,Troms¿ shelf,NE Atlantic,71.39517,16.81599,330,No MPA,August,2017,Phakellia ventilabrum
Pv_SRT_046-26_s_11,Pv.24,Sula Reef,NE Atlantic,63.65222,9.758833,203,No MPA,October,2016,Phakellia ventilabrum
Pv_SRT_046-49_s_12,Pv.25,Sula Reef,NE Atlantic,63.65222,9.758833,203,No MPA,October,2016,Phakellia ventilabrum
Pv_SSNd_H044-01642_s_45,Pv.26,Shetland Shelf North,NE Atlantic,60.106,-4.808,496,No MPA,May,2018,Phakellia ventilabrum
Pv_SSNd_H044-01643_s_46,Pv.27,Shetland Shelf North,NE Atlantic,60.106,-4.808,496,No MPA,May,2018,Phakellia ventilabrum
Pv_SSNd_H044-01645_s_47,Pv.28,Shetland Shelf North,NE Atlantic,60.106,-4.808,496,No MPA,May,2018,Phakellia ventilabrum
Pv_Sw_11_s_05,Pv.29,Sweden,NE Atlantic,58.89083,11.09502,90,No MPA,March,2019,Phakellia ventilabrum
Pv_Sw_9_s_04,Pv.30,Sweden,NE Atlantic,58.89083,11.09502,90,No MPA,March,2019,Phakellia ventilabrum
